economy,Country,SH.XPD.CHEX.GD.ZS
LBY,Libya,4.67685318
LBR,Liberia,9.91087437
LSO,Lesotho,10.52956581
LBN,Lebanon,7.80357552
LVA,Latvia,6.18721867
LAO,Lao PDR,2.52606821
KGZ,Kyrgyz Republic,6.18586349
KWT,Kuwait,4.65326786
XKX,Kosovo,
KOR,"Korea, Rep.",6.79827499
PRK,"Korea, Dem. People's Rep.",
KIR,Kiribati,9.68424225
KEN,Kenya,3.98597503
KAZ,Kazakhstan,3.0524447
JOR,Jordan,7.10953665
JPN,Japan,10.65627098
JAM,Jamaica,6.98476934
ITA,Italy,8.69060516
ISR,Israel,7.17189407
IMN,Isle of Man,
IRL,Ireland,6.91718578
IRQ,Iraq,4.08944416
IRN,"Iran, Islamic Rep.",7.71801233
IDN,Indonesia,2.90417194
IND,India,2.93597651
ISL,Iceland,8.3243084
HUN,Hungary,6.73338366
HKG,"Hong Kong SAR, China",
HND,Honduras,7.00668859
HTI,Haiti,3.8199389
GUY,Guyana,4.3191123
GNB,Guinea-Bissau,7.00049543
GIN,Guinea,3.91512728
GTM,Guatemala,6.13563824
GUM,Guam,
GRD,Grenada,4.65701056
GRL,Greenland,
GRC,Greece,8.11336899
GIB,Gibraltar,
GHA,Ghana,2.68786979
DEU,Germany,11.05091095
GEO,Georgia,8.70140266
GMB,"Gambia, The",3.35449266
GAB,Gabon,2.78068876
PYF,French Polynesia,
FRA,France,11.44944572
FIN,Finland,9.19148445
FJI,Fiji,3.18689561
FRO,Faroe Islands,
ETH,Ethiopia,3.45336914
SWZ,Eswatini,6.98103714
EST,Estonia,6.46636105
ERI,Eritrea,4.15359449
GNQ,Equatorial Guinea,2.86121631
SLV,El Salvador,8.42286873
EGY,"Egypt, Arab Rep.",5.34661913
ECU,Ecuador,7.52484131
DOM,Dominican Republic,4.44562674
DMA,Dominica,5.46245432
DJI,Djibouti,2.47976375
DNK,Denmark,10.1137991
CZE,Czechia,7.24190664
CYP,Cyprus,6.62192535
CUW,Curacao,
CUB,Cuba,11.47201538
HRV,Croatia,6.62803125
CIV,Cote d'Ivoire,3.24693036
CRI,Costa Rica,7.04522991
COG,"Congo, Rep.",2.36476016
COD,"Congo, Dem. Rep.",4.00057793
COM,Comoros,5.26807451
COL,Colombia,7.67864323
CHN,China,4.9695034
CHL,Chile,9.090518
CHI,Channel Islands,
TCD,Chad,3.51023412
CAF,Central African Republic,6.66541576
CYM,Cayman Islands,
CAN,Canada,10.9242115
CMR,Cameroon,3.79293942
KHM,Cambodia,4.26933241
CPV,Cabo Verde,4.48070955
BDI,Burundi,6.95230389
BFA,Burkina Faso,6.12075186
BGR,Bulgaria,7.49624491
BRN,Brunei Darussalam,2.27022862
VGB,British Virgin Islands,
BRA,Brazil,9.47125053
BWA,Botswana,6.62986994
BIH,Bosnia and Herzegovina,8.81797314
BOL,Bolivia,6.4901948
BTN,Bhutan,3.11215067
BMU,Bermuda,
BEN,Benin,3.67389345
BLZ,Belize,4.62228823
BEL,Belgium,10.94042683
BLR,Belarus,5.75974846
BRB,Barbados,6.0020504
BGD,Bangladesh,2.36720181
BHR,Bahrain,4.30236721
BHS,"Bahamas, The",6.6036396
AZE,Azerbaijan,4.07396507
AUT,Austria,10.57132816
AUS,Australia,10.10880566
ABW,Aruba,
ARM,Armenia,10.36270332
ARG,Argentina,10.26057911
ATG,Antigua and Barbuda,4.66318989
AGO,Angola,2.4379425
AND,Andorra,7.07158232
ASM,American Samoa,
DZA,Algeria,5.9484539
ALB,Albania,6.50111914
AFG,Afghanistan,12.62081718
WLD,World,9.65259026022703
UMC,Upper middle income,5.61782808159457
TSS,Sub-Saharan Africa (IDA & IBRD countries),4.9771165926508
SSA,Sub-Saharan Africa (excluding high income),5.05092923103056
SSF,Sub-Saharan Africa,4.9771165926508
TSA,South Asia (IDA & IBRD),2.92047698852862
SAS,South Asia,2.92047698852862
SST,Small states,6.29114913767488
PRE,Pre-demographic dividend,4.12428507883182
PST,Post-demographic dividend,12.71663479268
PSS,Pacific island small states,4.62651268238975
OSS,Other small states,6.54415940537853
OED,OECD members,12.2702747075418
INX,Not classified,
NAC,North America,16.1922020531164
MIC,Middle income,5.19564167413207
TMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",5.64320608766798
MNA,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",5.67308036429661
MEA,"Middle East, North Africa, Afghanistan & Pakistan",5.53060666956274
LMC,Lower middle income,3.58477536232222
LIC,Low income,5.79061253561363
LMY,Low & middle income,5.20208329970141
LDC,Least developed countries: UN classification,3.97551026692723
TLA,Latin America & the Caribbean (IDA & IBRD countries),7.99518260121538
LAC,Latin America & Caribbean (excluding high income),8.02926206464287
LCN,Latin America & Caribbean,8.05351034098995
LTE,Late-demographic dividend,5.57494835034526
IDA,IDA total,3.86599631009632
IDX,IDA only,4.13130505370949
IDB,IDA blend,3.56925634629536
IBT,IDA & IBRD total,5.26451407307711
IBD,IBRD only,5.37429834790267
HIC,High income,12.0491502529549
HPC,Heavily indebted poor countries (HIPC),4.69402683116841
FCS,Fragile and conflict affected situations,4.86298772286833
EUU,European Union,9.8503644385119
TEC,Europe & Central Asia (IDA & IBRD countries),5.33246499354921
ECA,Europe & Central Asia (excluding high income),4.76376986171493
ECS,Europe & Central Asia,9.21010108802763
EMU,Euro area,10.1010873950656
TEA,East Asia & Pacific (IDA & IBRD countries),4.73872752864821
EAP,East Asia & Pacific (excluding high income),4.73855932101377
EAS,East Asia & Pacific,6.45209555660183
EAR,Early-demographic dividend,4.86578793719636
CEB,Central Europe and the Baltics,6.56979793772616
CSS,Caribbean small states,5.97078497970675
ARB,Arab World,5.15987282843783
AFW,Africa Western and Central,3.73266812536803
AFE,Africa Eastern and Southern,5.86588226298921
